timestamp,price,total_volumes,coin_id
1763409722112,2980.38,38752164841.87451,5
1763413334049,3004.16,41368788573.96354,5
1763416924867,2998.46,40938823196.253296,5
1763420559764,3017.85,41017629243.96309,5
1763424100035,3021.3,39723178401.3899,5
1763427647274,3030.97,40125929951.73379,5
1763431334650,3013.63,39284201612.808136,5
1763434898327,3006.11,40837412107.2113,5
1763438510647,3016.11,43548276901.42897,5
1763442090213,3003.18,43955186340.64386,5
1763445951350,3000.14,45048785325.57677,5
1763449308562,2990.94,47542983925.590164,5
1763452889816,3023.17,46416048512.38158,5
1763456516780,3058.1,47618037630.52314,5
1763460168370,3052.04,47662830192.35362,5
1763463668151,3057.93,48798086019.98308,5
1763467417222,3060.91,49926217790.756355,5
1763470872797,3048.53,50309437477.63187,5
1763474566806,3051.78,49973788768.95845,5
1763478079912,3058.06,48647993157.343636,5
1763481696249,3105.19,48293630301.921715,5
1763485313558,3148.9,49114734986.150375,5
1763488912129,3131.49,48491067417.40508,5
1763492508032,3162.49,47634732040.014,5
1763496104390,3139.7,45197143709.253296,5
1763499671076,3122.76,42435319307.23039,5
1763503382323,3098.06,41473850703.13265,5
1763506917732,3123.39,40805878119.95597,5
1763510497375,3117.22,40531057646.65946,5
1763514113599,3097.75,39832013182.97859,5
1763517729465,3101.86,38669748818.99404,5
1763521283061,3119.62,37882659117.12904,5
1763524914415,3072.83,34919999547.706085,5
1763528577991,3048.34,33320609009.64071,5
1763532164163,3009.76,34278534062.342243,5
1763535647476,3038.3,33615249495.038525,5
1763539285401,3082.88,33140154802.96159,5
1763543024113,3078.31,32938676840.545387,5
1763546594733,3084.96,32420720212.618374,5
1763550010970,3088.5,31970858530.88236,5
1763553694659,3080.59,32139520195.987312,5
1763557386632,3095.7,31310399152.881706,5
1763560820008,3062.66,30739961037.132313,5
1763564531098,3049.18,31443122801.14684,5
1763569611000,2956.93,29910323871.00095,5
1762704266745,2.32,2575948491.3620367,6
1762707751621,2.33,2580498140.8389935,6
1762711308297,2.31,2567966218.2217765,6
1762714863492,2.33,2583440368.47609,6
1762718508269,2.34,2647101373.743619,6
1762722390496,2.34,2704027301.4976306,6
1762725718689,2.34,2693869899.3508143,6
1762729261353,2.34,2748974226.4802504,6
1762732976075,2.37,2983765683.3379188,6
1762736878506,2.42,3277075424.738446,6
1762740102349,2.4,3429513796.822026,6
1762743755948,2.42,3520025045.028179,6
1762747323766,2.46,3777914422.2674866,6
1762750958364,2.46,3925607362.4859543,6
1762754509339,2.45,3953164931.024012,6
